Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
2560T,7arrow_MOBF,315,1,173.33,125.95,72.72,46,49.33,4.16,2.4,3.513683357,trabasic,traE,#7F001D,,,,,,
2560T,7arrow_MOBF,74,2,173.33,125.95,72.72,54,49.33,4.16,2.4,,trabasic,traE,#7F001D,,,,,,
2560T,7arrow_MOBF,131,3,173.33,125.95,72.72,48,49.33,4.16,2.4,,trabasic,traE,#7F001D,,,,,,
5243T,contig_3_-,0,1,0,0,0,0,0,0,0,,trabasic,traE_1,#7F001D,,,,,,
5243T,contig_3_-,0,2,0,0,0,0,0,0,0,,trabasic,traE_1,#7F001D,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,0,0,0,,trabasic,traE_1,#7F001D,,,,,,
PCU1T,contig_3_-,0,1,0.33,0.58,0.33,2,1.33,1.15,0.67,0.248120301,trabasic,traE_1,#7F001D,,,,,,
PCU1T,contig_3_-,1,2,0.33,0.58,0.33,2,1.33,1.15,0.67,,trabasic,traE_1,#7F001D,,,,,,
PCU1T,contig_3_-,0,3,0.33,0.58,0.33,0,1.33,1.15,0.67,,trabasic,traE_1,#7F001D,,,,,,
5243T,contig_3_-,0,1,5,7,4.04,2,3,1.73,1,1.666666667,trabasic,traE_2,#7F001D,,,,,,
5243T,contig_3_-,2,2,5,7,4.04,5,3,1.73,1,,trabasic,traE_2,#7F001D,,,,,,
5243T,contig_3_-,13,3,5,7,4.04,2,3,1.73,1,,trabasic,traE_2,#7F001D,,,,,,
PCU1T,contig_3_-,11660,1,11429.67,333.69,192.65,4554,4845.67,312.8,180.59,2.358738833,trabasic,traE_2,#7F001D,,,,,,
PCU1T,contig_3_-,11582,2,11429.67,333.69,192.65,5176,4845.67,312.8,180.59,,trabasic,traE_2,#7F001D,,,,,,
PCU1T,contig_3_-,11047,3,11429.67,333.69,192.65,4807,4845.67,312.8,180.59,,trabasic,traE_2,#7F001D,,,,,,
2560T,7arrow_MOBF,378,1,244,118.71,68.54,61,70,7.94,4.58,3.485714286,trabasic,traF,#FFD87F,,,,,,
2560T,7arrow_MOBF,152,2,244,118.71,68.54,76,70,7.94,4.58,,trabasic,traF,#FFD87F,,,,,,
2560T,7arrow_MOBF,202,3,244,118.71,68.54,73,70,7.94,4.58,,trabasic,traF,#FFD87F,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,503,1,615.33,152.55,88.07,184,182.67,12.06,6.96,3.368533421,trabasic,traF,#FFD87F,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,554,2,615.33,152.55,88.07,170,182.67,12.06,6.96,,trabasic,traF,#FFD87F,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,789,3,615.33,152.55,88.07,194,182.67,12.06,6.96,,trabasic,traF,#FFD87F,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0.33,0.58,0.33,1,0.67,0.58,0.33,0.492537313,trabasic,traF,#FFD87F,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,2,0.33,0.58,0.33,0,0.67,0.58,0.33,,trabasic,traF,#FFD87F,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,1,0.67,0.58,0.33,,trabasic,traF,#FFD87F,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,27,1,25,2,1.15,195,212.67,22.5,12.99,0.117553016,trabasic,traG,#06AED5,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,25,2,25,2,1.15,205,212.67,22.5,12.99,,trabasic,traG,#06AED5,,,,,,
92T,NC_000913.3;000001F_arrow_MOBP_MOBP_2732881987,23,3,25,2,1.15,238,212.67,22.5,12.99,,trabasic,traG,#06AED5,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,91,1,58.67,28.54,16.48,16,16.33,6.51,3.76,3.592774036,trabasic,traG,#06AED5,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,37,2,58.67,28.54,16.48,10,16.33,6.51,3.76,,trabasic,traG,#06AED5,,,,,,
2560T,000001Farrow_MOBF;7arrow_MOBF,48,3,58.67,28.54,16.48,23,16.33,6.51,3.76,,trabasic,traG,#06AED5,,,,,,
5243T,contig_3_-,0,1,0,0,0,2,2,1,0.58,,trabasic,traG,#06AED5,,,,,,
5243T,contig_3_-,0,2,0,0,0,3,2,1,0.58,,trabasic,traG,#06AED5,,,,,,
5243T,contig_3_-,0,3,0,0,0,1,2,1,0.58,,trabasic,traG,#06AED5,,,,,,
PCU1T,contig_3_-,7,1,3.67,3.51,2.03,9,4,4.36,2.52,0.9175,trabasic,traG,#06AED5,,,,,,
PCU1T,contig_3_-,4,2,3.67,3.51,2.03,1,4,4.36,2.52,,trabasic,traG,#06AED5,,,,,,
PCU1T,contig_3_-,0,3,3.67,3.51,2.03,2,4,4.36,2.52,,trabasic,traG,#06AED5,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,206,1,254,55.65,32.13,84,86,5.29,3.06,2.953488372,trabasic,traH,#3D3D3D,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,241,2,254,55.65,32.13,82,86,5.29,3.06,,trabasic,traH,#3D3D3D,,,,,,
5243T,contig_3_-;contig_4_MOBP_MOBP,315,3,254,55.65,32.13,92,86,5.29,3.06,,trabasic,traH,#3D3D3D,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,1,0.33,0.58,0.33,6,2.67,3.06,1.76,0.123595506,trabasic,traH,#3D3D3D,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,1,2,0.33,0.58,0.33,2,2.67,3.06,1.76,,trabasic,traH,#3D3D3D,,,,,,
PCU1T,contig_3_-;contig_4_MOBP_MOBP,0,3,0.33,0.58,0.33,0,2.67,3.06,1.76,,trabasic,traH,#3D3D3D,,,,,,
2560T,7arrow_MOBF,172,1,117.67,49.24,28.43,29,34.67,6.03,3.48,3.394000577,trabasic,traH_1,#3D3D3D,,,,,,
2560T,7arrow_MOBF,76,2,117.67,49.24,28.43,41,34.67,6.03,3.48,,trabasic,traH_1,#3D3D3D,,,,,,
2560T,7arrow_MOBF,105,3,117.67,49.24,28.43,34,34.67,6.03,3.48,,trabasic,traH_1,#3D3D3D,,,,,,
2560T,7arrow_MOBF,191,1,141.67,44.66,25.78,53,51.33,8.62,4.98,2.759984415,trabasic,traH_2,#3D3D3D,,,,,,
2560T,7arrow_MOBF,104,2,141.67,44.66,25.78,42,51.33,8.62,4.98,,trabasic,traH_2,#3D3D3D,,,,,,
2560T,7arrow_MOBF,130,3,141.67,44.66,25.78,59,51.33,8.62,4.98,,trabasic,traH_2,#3D3D3D,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,7850,1,7928.33,560.62,323.67,4536,3790,646.06,373,2.091907652,trakey,traI,#FF5C85,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,8524,2,7928.33,560.62,323.67,3415,3790,646.06,373,,trakey,traI,#FF5C85,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,7411,3,7928.33,560.62,323.67,3419,3790,646.06,373,,trakey,traI,#FF5C85,,,,,,
5243T,contig_4_MOBP_MOBP,393,1,513,189.11,109.18,214,239.67,25.03,14.45,2.140443109,trakey,traI,#FF5C85,,,,,,
5243T,contig_4_MOBP_MOBP,415,2,513,189.11,109.18,241,239.67,25.03,14.45,,trakey,traI,#FF5C85,,,,,,
